0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-34.58368,-32.337402,-31.80777,-44.455276,-42.6632,-43.18004,-47.336563,-43.626846,-50.18023,-56.152134,-49.910076,-56.572346,-52.774357,-58.14608,-59.337925,-54.72277,-63.903942,-60.060505,-65.17398,-62.45831,-66.41792,-64.131004,-67.50443,-79.94573,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.608421,-37.334133,-40.469864,-42.68857,-40.930744,-42.27568,-49.726585,-46.270027,-49.545288,-52.99299,-53.871452,-55.435814,-53.680542,-58.458344,-54.346222,-59.7865,-59.167725,-60.01327,-63.797993,-65.81707,-65.041794,-64.92361,-69.28869,-72.152374,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.871033,-35.412487,-38.02611,-44.71223,-46.017654,-44.519875,-49.901882,-50.40892,-52.131916,-48.58874,-49.922443,-51.506004,-52.629593,-54.325024,-56.621315,-60.448746,-58.12756,-62.838474,-66.609215,-68.65422,-66.65414,-66.92099,-70.856445,-71.181694,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.708439,-35.919144,-34.598976,-46.507156,-47.84268,-45.53705,-50.86553,-47.320015,-50.354404,-50.14585,-54.497047,-51.98227,-53.221306,-53.706043,-56.909203,-59.55853,-66.857895,-62.060783,-60.18054,-65.22199,-60.83344,-65.86417,-69.12305,-70.146255,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-32.765594,-38.754494,-39.798183,-47.115227,-48.586258,-48.304363,-51.893707,-50.849743,-51.11911,-50.671867,-52.108994,-54.540443,-54.184757,-53.43177,-56.260048,-58.431416,-60.836365,-64.729355,-67.776764,-63.339672,-63.752457,-64.871796,-70.40181,-70.62218,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.05762,-39.93323,-42.095108,-45.72811,-45.806644,-48.296055,-50.913727,-50.112545,-55.140102,-54.31666,-48.023376,-52.344906,-54.685383,-59.5419,-56.476223,-59.132893,-64.08488,-63.932816,-64.31706,-63.54372,-61.329838,-65.12214,-65.392586,-71.403015,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.396816,-36.913376,-42.28119,-46.74227,-49.920418,-48.93431,-51.731,-46.83602,-54.292423,-52.57992,-53.620544,-55.351715,-57.341526,-57.49279,-59.502422,-62.18061,-58.703686,-59.528934,-67.4929,-67.8321,-66.69443,-65.68442,-72.64595,-75.91559,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-35.090233,-38.659943,-38.80696,-48.271523,-51.261753,-46.78235,-50.44646,-54.69938,-56.736412,-54.07347,-52.46145,-53.11125,-56.078655,-57.541515,-61.153023,-60.416153,-61.43222,-63.201714,-65.66332,-66.29786,-65.64972,-69.41395,-67.543205,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-40.53427,-45.0785,-43.64028,-51.739204,-50.850857,-50.80239,-54.935913,-56.79873,-57.931877,-56.840477,-58.324963,-57.75331,-55.92775,-64.19296,-59.08951,-61.014297,-69.60079,-65.816986,-62.681587,-69.77501,-66.86473,-70.112686,-73.00188,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-43.181263,-42.943447,-47.331505,-51.30217,-54.20156,-49.472748,-57.101963,-54.207283,-56.844086,-59.5,-61.993168,-58.440483,-58.833977,-64.80911,-62.78419,-63.5834,-66.44962,-63.981293,-67.240616,-71.85449,-70.321594,-71.263954,-73.97235,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-23.972214,-34.60151,-38.09725,-44.43694,-48.626816,-45.25831,-47.94606,-51.210556,-53.53952,-54.34371,-53.92827,-56.06971,-56.992588,-54.75349,-61.034225,-60.371384,-59.890205,-60.643265,-63.993702,-65.572784,-69.63803,-67.27971,-72.64112,-78.27017,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-24.80896,-36.97544,-36.239212,-40.97329,-44.24864,-47.718643,-55.765385,-51.746,-57.932068,-57.39881,-60.875355,-52.926987,-49.923794,-56.349915,-60.78308,-62.346745,-57.79683,-58.64281,-59.91862,-64.03165,-59.72936,-69.399345,-74.57782,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.557774,-35.1341,-38.79116,-40.222275,-45.73734,-46.849907,-52.658554,-50.630547,-54.72475,-55.22377,-55.376144,-56.526222,-51.777992,-53.229057,-49.86183,-56.285492,-57.08438,-60.00601,-63.14051,-64.47356,-62.173454,-66.0929,-61.79473,-79.19024,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.464062,-37.29784,-43.088467,-41.58685,-46.887505,-46.661762,-54.40354,-53.044403,-52.880543,-54.790806,-54.089256,-55.222183,-51.577263,-55.41268,-61.077553,-61.46666,-58.953598,-59.446754,-58.60029,-64.47259,-63.117485,-64.27434,-72.75558,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-40.19157,-43.549828,-43.01481,-52.387527,-53.637905,-48.09377,-51.465645,-59.210083,-58.551895,-59.335503,-57.93695,-62.979393,-59.28235,-61.137367,-61.89261,-63.02916,-61.991745,-66.10762,-66.44405,-67.703445,-69.51424,-71.37293,-67.52638,-78.88095,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-46.348125,-46.550194,-46.13498,-50.994476,-53.019444,-55.28088,-60.358,-63.619312,-58.136482,-59.258663,-57.11586,-62.5232,-57.959335,-62.52069,-60.064644,-63.15728,-68.45199,-67.75305,-68.69142,-71.49667,-71.84952,-73.48125,-75.15338,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-43.45575,-41.045822,-45.457115,-45.688934,-51.056065,-49.45049,-51.375008,-60.109573,-64.67382,-68.39947,-57.68611,-58.413486,-57.215443,-62.60844,-64.35596,-64.97076,-64.63517,-62.256752,-65.7291,-61.44016,-65.67224,-67.12999,-68.76776,-79.46539,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.42685,-35.993973,-38.112507,-43.208572,-44.633633,-49.97757,-47.2626,-55.85358,-50.24871,-52.101738,-54.493187,-56.846577,-55.29487,-57.624672,-58.155033,-61.070503,-62.77139,-62.70523,-61.650482,-78.28932,-76.22713,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.248518,-35.913414,-39.73034,-44.863716,-45.04417,-50.41685,-49.282524,-47.887238,-52.802433,-54.81449,-55.257633,-55.28755,-54.198112,-56.58017,-51.747368,-55.946445,-58.69559,-65.185486,-62.3832,-74.35855,-74.50818,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-29.906544,-34.6696,-40.336864,-42.560642,-43.908276,-44.160435,-48.902092,-52.283924,-51.43183,-54.653763,-51.341278,-53.898155,-56.589478,-53.455116,-57.533257,-62.600945,-56.27771,-67.52193,-65.31177,-61.00901,-58.846573,-63.909,-70.53582,-77.72604,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
